Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2019,Beloit College,Men,Swimming,44464,16830,491
2019,Beloit College,Men,Total,880033,279479,491
2019,Beloit College,Women,All Track Combined,81801,20153,572
2019,Beloit College,Women,Basketball,113007,26991,572
2019,Beloit College,Women,Lacrosse,88724,17729,572
2019,Beloit College,Women,Soccer,76286,23619,572
2019,Beloit College,Women,Softball,110930,40326,572
2019,Beloit College,Women,Swimming,40540,12958,572
2019,Beloit College,Women,Tennis,11927,9246,572
2019,Beloit College,Women,Total,603047,177193,572
2019,Beloit College,Women,Volleyball,79832,26171,572
2020,Beloit College,Men,Baseball,101885,33206,421
2020,Beloit College,Men,Total,171209,39416,421
2020,Beloit College,Men,Track and Field Outdoor,69324,6210,421
2020,Beloit College,Women,Lacrosse,66973,7382,496
2020,Beloit College,Women,Softball,95795,24209,496
2020,Beloit College,Women,Total,232643,38307,496
2020,Beloit College,Women,Track and Field Outdoor,69875,6716,496
2021,Beloit College,Men,All Track Combined,104918,39047,458
2021,Beloit College,Men,Baseball,156248,99745,458
2021,Beloit College,Men,Basketball,122793,40193,458
2021,Beloit College,Men,Football,349124,66166,458
2021,Beloit College,Men,Lacrosse,90132,28802,458
2021,Beloit College,Men,Soccer,78575,14903,458
2021,Beloit College,Men,Swimming,30424,4290,458
2021,Beloit College,Men,Total,932214,293146,458
2021,Beloit College,Women,All Track Combined,102622,36773,497
2021,Beloit College,Women,Basketball,97521,32484,497
2021,Beloit College,Women,Lacrosse,58866,25384,497
2021,Beloit College,Women,Soccer,84460,25384,497
2021,Beloit College,Women,Softball,142234,54811,497
2021,Beloit College,Women,Swimming,35205,8592,497
2021,Beloit College,Women,Total,611875,214431,497
2021,Beloit College,Women,Volleyball,90967,31003,497
2022,Beloit College,Men,All Track Combined,106742,38516,440
2022,Beloit College,Men,Baseball,174364,99745,440
2022,Beloit College,Men,Basketball,120389,40193,440
2022,Beloit College,Men,Football,356717,66166,440
2022,Beloit College,Men,Lacrosse,89868,28802,440
2022,Beloit College,Men,Soccer,55136,14903,440
2022,Beloit College,Men,Swimming,14439,4251,440
2022,Beloit College,Men,Total,917655,186217,440
2022,Beloit College,Women,All Track Combined,105517,37303,481
