Category,Value,Gender,Sport,Year
Neutral,0-0,Men,Baseball,1964
Overall,8-Apr,Men,Baseball,1965
OverallPCT,0.333,Men,Baseball,1965
Conf,6-Apr,Men,Baseball,1965
ConfPCT,0.4,Men,Baseball,1965
Streak,L1,Men,Baseball,1965
Home,2-Feb,Men,Baseball,1965
Away,6-Feb,Men,Baseball,1965
Neutral,0-0,Men,Baseball,1965
Overall,9-May,Men,Baseball,1966
OverallPCT,0.357,Men,Baseball,1966
Conf,9-Mar,Men,Baseball,1966
ConfPCT,0.25,Men,Baseball,1966
Streak,L1,Men,Baseball,1966
Home,4-Apr,Men,Baseball,1966
Away,5-Jan,Men,Baseball,1966
Neutral,0-0,Men,Baseball,1966
Overall,8-Apr,Men,Baseball,1967
OverallPCT,0.333,Men,Baseball,1967
Conf,7-Apr,Men,Baseball,1967
ConfPCT,0.364,Men,Baseball,1967
Streak,W1,Men,Baseball,1967
Home,4-Feb,Men,Baseball,1967
Away,4-Feb,Men,Baseball,1967
Neutral,0-0,Men,Baseball,1967
Overall,5/8/2001,Men,Baseball,1968
OverallPCT,0.393,Men,Baseball,1968
Conf,5/6/2001,Men,Baseball,1968
ConfPCT,0.458,Men,Baseball,1968
Streak,L2,Men,Baseball,1968
Home,2/4/2001,Men,Baseball,1968
Away,4-Mar,Men,Baseball,1968
Neutral,0-0,Men,Baseball,1968
Overall,13-Apr,Men,Baseball,1969
OverallPCT,0.235,Men,Baseball,1969
Conf,8-Apr,Men,Baseball,1969
ConfPCT,0.333,Men,Baseball,1969
Streak,W2,Men,Baseball,1969
Home,6-Feb,Men,Baseball,1969
Away,7-Feb,Men,Baseball,1969
Neutral,0-0,Men,Baseball,1969
Overall,13-Jan,Men,Baseball,1970
OverallPCT,0.071,Men,Baseball,1970
Conf,8-Jan,Men,Baseball,1970
ConfPCT,0.111,Men,Baseball,1970
Streak,L8,Men,Baseball,1970
Home,7-Jan,Men,Baseball,1970
Away,0-6,Men,Baseball,1970
Neutral,0-0,Men,Baseball,1970
Overall,14-Jan,Men,Baseball,1971
OverallPCT,0.067,Men,Baseball,1971
Conf,0-9,Men,Baseball,1971
ConfPCT,0,Men,Baseball,1971
Streak,L1,Men,Baseball,1971
Home,3-Jan,Men,Baseball,1971
Away,0-11,Men,Baseball,1971
Neutral,0-0,Men,Baseball,1971
Overall,0-8,Men,Baseball,1972
OverallPCT,0,Men,Baseball,1972
Conf,0-7,Men,Baseball,1972
ConfPCT,0,Men,Baseball,1972
Streak,L8,Men,Baseball,1972
