Year,Gender,Scores,Rank,School,Sport
2004,Women,7,4,St. Norbert College,Track & Field (Indoor)
2004,Women,1.5,9,St. Norbert College,Softball
2004,Women,5,6,St. Norbert College,Track & Field (Outdoor)
2004,Women,65.5,2,St. Norbert College,Total
2005,Men,3,8,Beloit College,Football
2005,Men,7,3,Beloit College,Soccer
2005,Men,6.5,4,Beloit College,Cross Country
2005,Men,2.5,7,Beloit College,Basketball
2005,Men,6,5,Beloit College,Swimming & Diving
2005,Men,4,7,Beloit College,Track & Field (Indoor)
2005,Men,3,8,Beloit College,Tennis
2005,Men,5,5,Beloit College,Baseball
2005,Men,5,6,Beloit College,Track & Field (Outdoor)
2005,Men,45.5,6,Beloit College,Total
2005,Men,4,7,Carroll University,Football
2005,Men,9,2,Carroll University,Soccer
2005,Men,2,9,Carroll University,Cross Country
2005,Men,7.5,3,Carroll University,Basketball
2005,Men,5,6,Carroll University,Swimming & Diving
2005,Men,2,9,Carroll University,Track & Field (Indoor)
2005,Men,2,9,Carroll University,Tennis
2005,Men,2.5,8,Carroll University,Baseball
2005,Men,2,9,Carroll University,Track & Field (Outdoor)
2005,Men,43.5,7,Carroll University,Total
2005,Men,6.5,4,Grinnell College,Football
2005,Men,4,7,Grinnell College,Soccer
2005,Men,10,1,Grinnell College,Cross Country
2005,Men,2.5,7,Grinnell College,Basketball
2005,Men,10,1,Grinnell College,Swimming & Diving
2005,Men,8,3,Grinnell College,Track & Field (Indoor)
2005,Men,10,1,Grinnell College,Tennis
2005,Men,5,5,Grinnell College,Baseball
2005,Men,8,3,Grinnell College,Track & Field (Outdoor)
2005,Men,69,3,Grinnell College,Total
2005,Men,6.5,4,Illinois College,Football
2005,Men,3,8,Illinois College,Soccer
2005,Men,1,10,Illinois College,Cross Country
2005,Men,2.5,7,Illinois College,Basketball
2005,Men,7,4,Illinois College,Track & Field (Indoor)
2005,Men,1,10,Illinois College,Tennis
2005,Men,7.5,3,Illinois College,Baseball
2005,Men,4,7,Illinois College,Track & Field (Outdoor)
2005,Men,35.5,10,Illinois College,Total
2005,Men,1.5,9,Knox College,Football
2005,Men,2,9,Knox College,Soccer
2005,Men,3,8,Knox College,Cross Country
2005,Men,5,6,Knox College,Basketball
2005,Men,4,7,Knox College,Swimming & Diving
2005,Men,3,8,Knox College,Track & Field (Indoor)
2005,Men,7,4,Knox College,Tennis
2005,Men,2.5,8,Knox College,Baseball
2005,Men,3,8,Knox College,Track & Field (Outdoor)
2005,Men,40,8,Knox College,Total
2005,Men,8,3,Lake Forest College,Football
2005,Men,7,3,Lake Forest College,Soccer
2005,Men,4,7,Lake Forest College,Cross Country
