Year,Gender,Sport,Total Expense,Operating Expense,Undergrads,School
2010,Women,Track and Field X Country,31743,6517,633,Cornell College
2010,Women,Volleyball,88584,21698,633,Cornell College
2011,Men,All Track Combined,78119,15281,544,Cornell College
2011,Men,Baseball,80013,25000,544,Cornell College
2011,Men,Basketball,110579,23990,544,Cornell College
2011,Men,Football,284608,71685,544,Cornell College
2011,Men,Golf,9039,5427,544,Cornell College
2011,Men,Soccer,55137,15634,544,Cornell College
2011,Men,Tennis,27839,6439,544,Cornell College
2011,Men,Total,786612,188911,544,Cornell College
2011,Men,Wrestling,141278,25455,544,Cornell College
2011,Women,All Track Combined,70479,7641,636,Cornell College
2011,Women,Basketball,115529,19828,636,Cornell College
2011,Women,Golf,9316,5703,636,Cornell College
2011,Women,Soccer,53312,11766,636,Cornell College
2011,Women,Softball,76307,19761,636,Cornell College
2011,Women,Tennis,6373,5516,636,Cornell College
2011,Women,Total,406980,89223,636,Cornell College
2011,Women,Volleyball,75664,19008,636,Cornell College
2012,Men,All Track Combined,116562,31419,523,Cornell College
2012,Men,Baseball,110305,42877,523,Cornell College
2012,Men,Basketball,131901,24190,523,Cornell College
2012,Men,Football,304914,104422,523,Cornell College
2012,Men,Soccer,60723,15561,523,Cornell College
2012,Men,Tennis,37606,9553,523,Cornell College
2012,Men,Total,927201,266395,523,Cornell College
2012,Men,Wrestling,165190,38373,523,Cornell College
2012,Women,All Track Combined,112467,28321,642,Cornell College
2012,Women,Basketball,135397,27581,642,Cornell College
2012,Women,Soccer,61406,14517,642,Cornell College
2012,Women,Softball,91815,35542,642,Cornell College
2012,Women,Tennis,36186,8010,642,Cornell College
2012,Women,Total,528435,144865,642,Cornell College
2012,Women,Volleyball,91164,30894,642,Cornell College
2013,Men,Baseball,100591,56934,502,Cornell College
2013,Men,Basketball,126653,23156,502,Cornell College
2013,Men,Football,321935,83249,502,Cornell College
2013,Men,Soccer,68875,17843,502,Cornell College
2013,Men,Tennis,31965,10957,502,Cornell College
2013,Men,Total,928005,165653,502,Cornell College
2013,Men,Track and Field Indoor,28995,6532,502,Cornell College
2013,Men,Track and Field Outdoor,32279,9798,502,Cornell College
2013,Men,Track and Field X Country,45493,12573,502,Cornell College
2013,Men,Wrestling,171219,51016,502,Cornell College
2013,Women,Basketball,147214,24557,612,Cornell College
2013,Women,Soccer,69519,14429,612,Cornell College
2013,Women,Softball,100818,26036,612,Cornell College
2013,Women,Tennis,34110,9677,612,Cornell College
2013,Women,Total,568486,102353,612,Cornell College
2013,Women,Track and Field Indoor,27455,7076,612,Cornell College
2013,Women,Track and Field Outdoor,33819,10614,612,Cornell College
2013,Women,Track and Field X Country,42141,9220,612,Cornell College
2013,Women,Volleyball,113410,25301,612,Cornell College
2014,Men,All Track Combined,109993,29197,501,Cornell College
2014,Men,Baseball,158479,65923,501,Cornell College
2014,Men,Basketball,178915,33212,501,Cornell College
2014,Men,Football,345308,82565,501,Cornell College
2014,Men,Lacrosse,108020,37418,501,Cornell College
2014,Men,Soccer,61108,16448,501,Cornell College
2014,Men,Tennis,53672,15004,501,Cornell College
2014,Men,Total,1205975,313954,501,Cornell College
2014,Men,Wrestling,190480,34187,501,Cornell College
2014,Women,All Track Combined,116415,35620,576,Cornell College
2014,Women,Basketball,234625,25501,576,Cornell College
2014,Women,Lacrosse,81170,22963,576,Cornell College
2014,Women,Soccer,68079,14619,576,Cornell College
