Year,Gender,Total Expense,Operating Expense,Undergrads,School,Sport
2008,Men,803399,192734,548,Cornell College,Total
2008,Men,28751,7873,548,Cornell College,Track & Field (Indoor)
2008,Men,28751,7873,548,Cornell College,Track & Field (Outdoor)
2008,Men,27410,7261,548,Cornell College,Cross Country
2008,Men,141129,30102,548,Cornell College,Wrestling
2008,Men,84912,23007,548,Cornell College,All Track Combined
2008,Women,139560,16639,555,Cornell College,Basketball
2008,Women,9771,5136,555,Cornell College,Golf
2008,Women,42568,19197,555,Cornell College,Soccer
2008,Women,93164,27318,555,Cornell College,Softball
2008,Women,34711,6905,555,Cornell College,Tennis
2008,Women,493379,119774,555,Cornell College,Total
2008,Women,28793,7217,555,Cornell College,Track & Field (Indoor)
2008,Women,28793,7217,555,Cornell College,Track & Field (Outdoor)
2008,Women,25176,5027,555,Cornell College,Cross Country
2008,Women,90843,25118,555,Cornell College,Volleyball
2008,Women,82762,19461,555,Cornell College,All Track Combined
2009,Men,86380,25419,536,Cornell College,Baseball
2009,Men,131880,29531,536,Cornell College,Basketball
2009,Men,297638,53149,536,Cornell College,Football
2009,Men,11348,8547,536,Cornell College,Golf
2009,Men,30244,11418,536,Cornell College,Soccer
2009,Men,39076,11304,536,Cornell College,Tennis
2009,Men,777354,185315,536,Cornell College,Total
2009,Men,25769,9798,536,Cornell College,Track & Field (Indoor)
2009,Men,25769,9798,536,Cornell College,Track & Field (Outdoor)
2009,Men,22357,7449,536,Cornell College,Cross Country
2009,Men,106893,18902,536,Cornell College,Wrestling
2009,Men,73895,27045,536,Cornell College,All Track Combined
2009,Women,135560,22926,585,Cornell College,Basketball
2009,Women,6401,5238,585,Cornell College,Golf
2009,Women,32149,10572,585,Cornell College,Soccer
2009,Women,75481,24101,585,Cornell College,Softball
2009,Women,27886,5877,585,Cornell College,Tennis
2009,Women,415036,107813,585,Cornell College,Total
2009,Women,23691,7720,585,Cornell College,Track & Field (Indoor)
2009,Women,23691,7720,585,Cornell College,Track & Field (Outdoor)
2009,Women,20287,5379,585,Cornell College,Cross Country
2009,Women,69890,18280,585,Cornell College,Volleyball
2009,Women,67669,20819,585,Cornell College,All Track Combined
2010,Men,80380,22471,543,Cornell College,Baseball
2010,Men,118544,21805,543,Cornell College,Basketball
2010,Men,324748,87788,543,Cornell College,Football
2010,Men,15190,7437,543,Cornell College,Golf
2010,Men,57059,15330,543,Cornell College,Soccer
2010,Men,32944,7435,543,Cornell College,Tennis
2010,Men,875740,224226,543,Cornell College,Total
2010,Men,27981,11225,543,Cornell College,Track & Field (Indoor)
2010,Men,28405,11649,543,Cornell College,Track & Field (Outdoor)
2010,Men,31335,6109,543,Cornell College,Cross Country
2010,Men,159154,32977,543,Cornell College,Wrestling
2010,Men,87721,28983,543,Cornell College,All Track Combined
2010,Women,125930,20393,633,Cornell College,Basketball
2010,Women,8196,4320,633,Cornell College,Golf
2010,Women,31870,11901,633,Cornell College,Soccer
2010,Women,94964,31089,633,Cornell College,Softball
2010,Women,30985,6441,633,Cornell College,Tennis
2010,Women,464070,120645,633,Cornell College,Total
2010,Women,26111,9355,633,Cornell College,Track & Field (Indoor)
2010,Women,25687,8931,633,Cornell College,Track & Field (Outdoor)
2010,Women,31743,6517,633,Cornell College,Cross Country
2010,Women,88584,21698,633,Cornell College,Volleyball
2010,Women,83541,24803,633,Cornell College,All Track Combined
2011,Men,78119,15281,544,Cornell College,All Track Combined
2011,Men,80013,25000,544,Cornell College,Baseball
2011,Men,110579,23990,544,Cornell College,Basketball
2011,Men,284608,71685,544,Cornell College,Football
2011,Men,9039,5427,544,Cornell College,Golf
2011,Men,55137,15634,544,Cornell College,Soccer
